"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2019	"NILE RED DYE-BASED ANALYSIS OF MICROFIBERS FOR FORENSIC APPLICATIONS"	"DEVALLA S;JOSEPH O;PRABHU R"	"SYNTHETIC FIBERS; FORENSICS; MICROPLASTIC; NILE RED; FLUORESCENCE; MICROSCOPY"	NA	"DEVALLA, S (CORRESPONDING AUTHOR), JAMES HUTTON INST, ABERDEEN AB15 8QH, SCOTLAND; DEVALLA, SANDHYA, JAMES HUTTON INST, ABERDEEN AB15 8QH, SCOTLAND; JOSEPH, OSHEEN, COCHIN UNIV SCI \& TECHNOL, INT SCH PHOTON, KOCHI, INDIA; PRABHU, RADHAKRISHNA, ROBERT GORDON UNIV, SCH ENGN, ABERDEEN, SCOTLAND"	"10.1117/12.2536780"	"COUNTERTERRORISM, CRIME FIGHTING, FORENSICS, AND SURVEILLANCE TECHNOLOGIES III"	"WebOfScience"	"PROCEEDINGS PAPER"
2019	"NOVEL CERAMIC CARBON-COATED MAGNETIC NANOPARTICLES AS STIR BAR SORPTIVE EXTRACTION COATING FOR SIMULTANEOUS EXTRACTION OF AMPHETAMINES FROM URINE SAMPLES"	"TAGHVIMI A;DASTMALCHI S;JAVADZADEH Y"	"STIR BAR SORPTIVE EXTRACTION; AMPHETAMINES; CARBON-COATED MAGNETIC; NANOPARTICLES; CARBON CERAMIC; HPLC"	"SOLID-PHASE MICROEXTRACTION; TANDEM MASS-SPECTROMETRY;; LIQUID-CHROMATOGRAPHY; METHAMPHETAMINE; FIBERS; DRUGS; BENZODIAZEPINES;; DERIVATIZATION; TECHNOLOGY; COMPOSITE"	"JAVADZADEH, Y (CORRESPONDING AUTHOR), TABRIZ UNIV MED SCI, BIOTECHNOL RES CTR, TABRIZ, IRAN; JAVADZADEH, Y (CORRESPONDING AUTHOR), TABRIZ UNIV MED SCI, FAC PHARM, TABRIZ, IRAN; TAGHVIMI, AREZOU; DASTMALCHI, SIAVOUSH; JAVADZADEH, YOUSEF, TABRIZ UNIV MED SCI, BIOTECHNOL RES CTR, TABRIZ, IRAN; TAGHVIMI, AREZOU, TABRIZ UNIV MED SCI, STUDENT RES COMM, TABRIZ, IRAN; DASTMALCHI, SIAVOUSH; JAVADZADEH, YOUSEF, TABRIZ UNIV MED SCI, FAC PHARM, TABRIZ, IRAN; DASTMALCHI, SIAVOUSH, NEAR EAST UNIV, FAC PHARM, MERSIN 10,POB 99138, NICOSIA, NORTH CYPRUS, TURKEY"	"10.1007/s13369-019-03810-0"	"ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING"	"WebOfScience"	"ARTICLE"
2019	"OPTIMIZING THE ANALYSIS OF DYES BY SURFACE-ENHANCED RAMAN SPECTROSCOPY (SERS) USING A CONVENTIONAL-MICROWAVE SILVER NANOPARTICLES SYNTHESIS"	"LUX C;LUBIO A;RUEDIGER A;ROBERT S;MUEHLETHALER C"	"SURFACE ENHANCED RAMAN SPECTROSCOPY; SILVER NANOPARTICLES; DYES; FORENSIC SCIENCE"	"SCATTERING; IDENTIFICATION; ANCIENT; AG"	"MUEHLETHALER, C (CORRESPONDING AUTHOR), UNIV QUEBEC TROIS RIVIERES, DEPT CHEM BIOCHEM \& PHYS, TROIS RIVIERES, PQ, CANADA; LUX, CELINE, UNIV STRASBOURG, EUROPEAN SCH CHEM POLYMERS \& MAT, STRASBOURG, FRANCE; LUBIO, AURA; RUEDIGER, ANDREAS, UNIV SHERBROOKE, ELECT \& COMP ENGN DEPT, SHERBROOKE, PQ, CANADA; LUBIO, AURA; RUEDIGER, ANDREAS, INRS EMT, NANOELECT \& NANOPHOTON, VARENNES, PQ, CANADA; ROBERT, SYLVAIN; MUEHLETHALER, CYRIL, UNIV QUEBEC TROIS RIVIERES, DEPT CHEM BIOCHEM \& PHYS, TROIS RIVIERES, PQ, CANADA; ROBERT, SYLVAIN; MUEHLETHALER, CYRIL, LRC, TROIS RIVIERES, PQ, CANADA"	"10.1016/j.forc.2019.100186"	"FORENSIC CHEMISTRY"	"WebOfScience"	"ARTICLE"
2019	"POTENTIAL APPLICATION OF AMINO ACIDS IN ANALYTICAL TOXICOLOGY"	"RIAHI-ZANJANI B;BALALI-MOOD M;ASOODEH A;GHORANI-AZAM A"	"AMINO ACID; MORPHINE; HPLC; CARBON NANOTUBE; PRECONCENTRATION; HOLLOW; FIBER-SOLID PHASE MICROEXTRACTION (HF-SPME)"	"SOLID-PHASE MICROEXTRACTION; CARBON NANOTUBES; SKIN SECRETIONS;; MORPHINE; CODEINE; EXTRACTION; PEPTIDES; PROTEIN; SAMPLES; HAIR"	"GHORANI-AZAM, A (CORRESPONDING AUTHOR), MASHHAD UNIV MED SCI, MED TOXICOL RES CTR, MASHHAD, IRAN; RIAHI-ZANJANI, BAMDAD; GHORANI-AZAM, ADEL, MASHHAD UNIV MED SCI, MED TOXICOL RES CTR, MASHHAD, IRAN; BALALI-MOOD, MANDI, BIRJAND UNIV MED SCI, MED TOXICOL \& DRUG ABUSE RES CTR, BIRJAND, IRAN; ASOODEH, AHMAD, FERDOWSI UNIV MASHHAD, DEPT CHEM, FAC SCI, MASHHAD, IRAN; ES'HAGHI, ZARRIN, PAYAME NOOR UNIV, DEPT CHEM, TEHRAN 193954697, IRAN"	"10.1016/j.talanta.2019.01.019"	"TALANTA"	"WebOfScience"	"ARTICLE"
2019	"QUANTITATIVE DETERMINATION OF CBD AND THC AND THEIR ACID PRECURSORS IN CONFISCATED CANNABIS SAMPLES BY HPLC-DAD"	"HADENER M;KONIG S;WEINMANN W"	"CANNABIS; CANNABINOIDS; THC; CBD; POTENCY TESTING; HPLC-DAD ANALYSIS"	"CHROMATOGRAPHY; POTENCY; DELTA(9)-TETRAHYDROCANNABINOL; CONSTITUENTS;; CULTIVATION"	"WEINMANN, W (CORRESPONDING AUTHOR), UNIV BERN, INST FORENS MED, DEPT FORENS TOXICOL \& CHEM, BUHLSTR 20, CH-3012 BERN, SWITZERLAND; HADENER, MARIANNE; KONIG, STEFAN; WEINMANN, WOLFGANG, UNIV BERN, INST FORENS MED, DEPT FORENS TOXICOL \& CHEM, BUHLSTR 20, CH-3012 BERN, SWITZERLAND"	"10.1016/j.forsciint.2019.03.046"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2019	"REAPPRAISAL OF THE MAWANGDUI HAN TOMB CADAVER THIRTY YEARS AFTER ITS UNEARTHING"	"WANG H;CHEN JM;WANG XS;YOU D;CHEN QL;WU XY;PENG ZD;TANG HH;YAN XX;HUANG JF;LUO XG"	"ANCIENT HUMAN REMAINS; BIOLOGICAL RELICS; NONBIOLOGICAL DEGRADATION; CADAVER PRESERVATION"	"MUMMY"	"LUO, XG (CORRESPONDING AUTHOR), CENT S UNIV, XIANGYA SCH MED, DEPT ANAT \& NEUROBIOL, CHANGSHA 410013, HUNAN, PEOPLES R CHINA; WANG, HUI; CHEN, JIAN-MING; WANG, XIAO-SHENG; CHEN, DAN; YAN, XIAO-XIN; HUANG, JU-FANG; LUO, XUE-GANG, CENT S UNIV, XIANGYA SCH MED, DEPT ANAT \& NEUROBIOL, CHANGSHA 410013, HUNAN, PEOPLES R CHINA; WANG, HUI; WANG, XIAO-SHENG; YOU, ZHEN-QUN; CHEN, DAN; CHEN, QING-LIN; WU, XIAO-YING; XIA, ZHONG-DI; YAN, XIAO-XIN; HUANG, JU-FANG; LUO, XUE-GANG, CENT S UNIV, XIANGYA SCH MED, CTR PRESERVAT MAWANGDUI HAN TOMB CADAVER, MORPHOLOGICAL SCI BLDG, CHANGSHA, HUNAN, PEOPLES R CHINA; CHEN, JIAN-MING; YOU, ZHEN-QUN, HUNAN MUSEUM, CHANGSHA, HUNAN, PEOPLES R CHINA; PENG, GUANG-CHUN, CENT S UNIV, XIANGYA HOSP, DEPT RADIOL, CHANGSHA, HUNAN, PEOPLES R CHINA; TANG, HUI-HUAN, CENT S UNIV, XIANGYA HOSP, DEPT GEN SURG, CHANGSHA, HUNAN, PEOPLES R CHINA"	"10.1089/bio.2019.0002"	"BIOPRESERVATION AND BIOBANKING"	"WebOfScience"	"ARTICLE"
2019	"REDUCING CONSTRUCTION DEFECTS AND DESIGN ERRORS IN TIMBER BUILDINGS"	"KIRKHAM WJ"	NA	"FAILURES; SYSTEM"	"KIRKHAM, WJ (CORRESPONDING AUTHOR), UNIV KANSAS, DEPT CIVIL ENGN \& ARCHITECTURAL ENGN, 12600 QUIVIRA RD,BEST 350B, OVERLAND PK, KS 66213 USA; KIRKHAM, WILLIAM J, UNIV KANSAS, DEPT CIVIL ENGN \& ARCHITECTURAL ENGN, 12600 QUIVIRA RD,BEST 350B, OVERLAND PK, KS 66213 USA"	NA	"STRUCTURES CONGRESS 2018: BUILDINGS AND DISASTER MANAGEMENT"	"WebOfScience"	"PROCEEDINGS PAPER"
2019	"REFLECTIVE SPECTROSCOPY INVESTIGATIONS OF CLOTHING ITEMS TO SUPPORT LAW ENFORCEMENT, SEARCH AND RESCUE, AND WAR CRIME INVESTIGATIONS"	"BURKE M;DAWSON C;ALLEN CS;BRUM J;ROBERTS J;KREKELER MPS"	"REFLECTIVE SPECTROSCOPY; CLOTHING; HYPERSPECTRAL REMOTE SENSING; INDOOR; AND OUTDOOR CRIME SCENES"	"TRENDS"	"KREKELER, MPS (CORRESPONDING AUTHOR), MIAMI UNIV HAMILTON, DEPT GEOL \& ENVIRONM EARTH SCI, 1601 UNIV BLVD, HAMILTON, OH 45011 USA; BURKE, MICHELLE; ALLEN, C SCOTT; ROBERTS, JESSICA; KREKELER, MARK P S, MIAMI UNIV HAMILTON, DEPT GEOL \& ENVIRONM EARTH SCI, 1601 UNIV BLVD, HAMILTON, OH 45011 USA; DAWSON, CLAUDIA; BRUM, JARED, MIAMI UNIV, DEPT GEOL \& ENVIRONM EARTH SCI, 250 S PATTERSON AVE,118 SHIDELER HALL, OXFORD, OH 45056 USA"	"10.1016/j.forsciint.2019.109945"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2019	"SURFACE MODIFICATION OF MESOPOROUS SILICON OPTICAL RUGATE FILTERS FOR LOW-CONCENTRATION VAPOR DETECTION"	"CHAUDHURI A;ANANTH R;CALVANO L;CHANG H;SAILOR MJ"	"POROUS SILICON; OPTICAL RUGATE FILTER; NANOTECHNOLOGY; SENSORS; VAPORS; CYCLIC SILANE; STABILIZATION; VOC"	"VOLATILE ORGANIC-COMPOUNDS"	"CHAUDHURI, A (CORRESPONDING AUTHOR), WESTVIEW HIGH SCH, 13500 CAMINO SUR, SAN DIEGO, CA 92129 USA; CHAUDHURI, ANUSHREE, WESTVIEW HIGH SCH, 13500 CAMINO SUR, SAN DIEGO, CA 92129 USA; ANANTH, RIDDHI; CHANG, HSUAN; SAILOR, MICHAEL J, UNIV CALIF SAN DIEGO, 9500 GILMAN DR, LA JOLLA, CA 92093 USA; CALVANO, LORENZO, HARVEY MUDD COLL, 301 PLATT BLVD, CLAREMONT, CA 91711 USA"	"10.1117/12.2534963"	"NANOENGINEERING: FABRICATION, PROPERTIES, OPTICS, THIN FILMS, AND DEVICES XVI"	"WebOfScience"	"PROCEEDINGS PAPER"
2019	"THE DATING OF THROMBUS ORGANIZATION IN CASES OF PULMONARY EMBOLISM: AN AUTOPSY STUDY"	"MANSUETO G;COSTA D;CAPASSO F;BRUNITTO G;CASERTA S;NIOLA M;SARDU R;NAPOLI C;PATERNOSTER M"	"PULMONARY EMBOLISM; THROMBUS DATING; SUDDEN UNEXPECTED DEATH; FORENSIC; AUTOPSY; HISTOLOGY"	"VENOUS THROMBOEMBOLISM; CLINICAL DIAGNOSES; AGE-DETERMINATION; DEATH;; DISCREPANCIES; EPIDEMIOLOGY; MANAGEMENT; OUTCOMES; UPDATE"	"SARDU, C (CORRESPONDING AUTHOR), UNIV CAMPANIA LUIGI VANVITELLI, DEPT ADV MED \& SURG SCI, PIAZZA MIRAGLIA 2, I-80138 NAPLES, ITALY; MANSUETO, GELSOMINA; CAPASSO, EMANUELE; NIOLA, MASSIMO; PATERNOSTER, MARIANO, UNIV NAPLES FEDERICO II, DEPT ADV BIOMED SCI, LEGAL MED UNIT, NAPLES, ITALY; MANSUETO, GELSOMINA, UNIV NAPLES FEDERICO II, DEPT ADV BIOMED SCI, PATHOL UNIT, NAPLES, ITALY; COSTA, DARIO; NAPOLI, CLAUDIO, UNIV CAMPANIA LUIGI VANVITELLI, DIV CLIN IMMUNOL IMMUNOHEMATOL TRANSFUS MED \& TRA, UOC, CLIN DEPT INTERNAL MED \& SPECIALIST, NAPLES, ITALY; VARAVALLO, FEDERICA; BRUNITTO, GIUSEPPINA; CASERTA, ROSANNA; ESPOSITO, SALVATORE, AVERSA HOSP, UNIT PATHOL ANAT, CASERTA, ITALY; SARDU, CELESTINO; MARFELLA, RAFFAELE, UNIV CAMPANIA LUIGI VANVITELLI, DEPT ADV MED \& SURG SCI, PIAZZA MIRAGLIA 2, I-80138 NAPLES, ITALY"	"10.1186/s12872-019-1219-8"	"BMC CARDIOVASCULAR DISORDERS"	"WebOfScience"	"ARTICLE"
2019	"THE EFFECT OF TAPE TYPE, TAPING METHOD AND TAPE STORAGE TEMPERATURE ON THE RETRIEVAL RATE OF FIBRES FROM VARIOUS SURFACES: AN EXAMPLE OF DATA GENERATION AND ANALYSIS TO FACILITATE TRACE EVIDENCE RECOVERY VALIDATION AND OPTIMISATION"	"JONES ZV;GWINNETT C;JACKSON ARW"	"FIBRE RECOVERY; TAPELIFTING; ZONAL TAPING; ONE-TO-ONE TAPING; TAPE; STORAGE TEMPERATURE; VALIDATION"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PERSISTENCE; WEAR; TEXTILE"	"JACKSON, ARW (CORRESPONDING AUTHOR), STAFFORDSHIRE UNIV, CRIMINAL JUSTICE \& FORENS SCI DEPT, SCI CTR, LEEK RD, STOKE ON TRENT ST4 2DF, STAFFS, ENGLAND; JONES, ZOE V; GWINNETT, CLAIRE; JACKSON, ANDREW R W, STAFFORDSHIRE UNIV, CRIMINAL JUSTICE \& FORENS SCI DEPT, SCI CTR, LEEK RD, STOKE ON TRENT ST4 2DF, STAFFS, ENGLAND"	"10.1016/j.scijus.2018.12.003"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
2019	"THE IDENTIFICATION OF POLYESTER FIBERS DYED WITH DISPERSE DYES FOR FORENSIC PURPOSES"	"SMIGIEL-KAMINSKA D;POSPIECH J;MAKOWSKA J;WAS-GUBALA J;KUMIRSKA J"	"POLYESTER FIBERS; DYED FIBERS; DISPERSE DYES; FORENSIC ANALYSIS; CHROMATOGRAPHIC METHODS; SPECTROSCOPIC METHODS"	"TEXTILE FIBERS; SINGLE; EXTRACTION; AZO; SPECTROMETRY; ACID"	"SMIGIEL-KAMINSKA, D; KUMIRSKA, J (CORRESPONDING AUTHOR), UNIV GDANSK, FAC CHEM, UL WITA STWOSZA 63, PL-80308 GDANSK, POLAND; SMIGIEL-KAMINSKA, DARIA; POSPIECH, JAN; MAKOWSKA, JOANNA; STEPNOWSKI, PIOTR; KUMIRSKA, JOLANTA, UNIV GDANSK, FAC CHEM, UL WITA STWOSZA 63, PL-80308 GDANSK, POLAND; WAS-GUBALA, JOLANTA, INST FORENS RES, CRIMINALIST DEPT, WESTERPLATTE 9, PL-3033 KRAKOW, POLAND"	"10.3390/molecules24030613"	"MOLECULES"	"WebOfScience"	"REVIEW"
2019	"THE TRANSFER OF FIBRES VIA WEAPONS FROM GARMENTS"	"SNEATH D;TIDY H;WOOD B"	"FORENSIC SCIENCE; FIBRE EXAMINATION; FIBRES; WEAPON; TRANSFERENCE; STABBING"	"TEXTILE FIBERS; DAMAGE; SHARP; POPULATION; WOUNDS"	"TIDY, H (CORRESPONDING AUTHOR), TEESSIDE UNIV, SCH SCI ENGN \& DESIGN, MIDDLESBROUGH TS1 3BZ, TEES VALLEY, ENGLAND; SNEATH, DANIEL; TIDY, HELEN; WOOD, BEN, TEESSIDE UNIV, SCH SCI ENGN \& DESIGN, MIDDLESBROUGH TS1 3BZ, TEES VALLEY, ENGLAND"	"10.1016/j.forsciint.2019.05.027"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2019	"THE TROPONIN-I FAST SKELETAL MUSCLE IS RELIABLE MARKER FOR THE DETERMINATION OF VITALITY IN THE SUICIDE HANGING"	"DE MATTEIS A;DELL'AQUILA M;MAIESE A;FRATI P;LA RUSSA R;BOLINO V"	"IMMUNOHISTOCHEMISTRY; TROPONIN I; VITALITY; SUICIDE; HANGING"	"TRYPTASE; MUTATION; TNNI2; SERUM; NECK; CD15"	"FINESCHI, V (CORRESPONDING AUTHOR), SAPIENZA UNIV ROMA, DEPT ANAT HISTOL FORENS MED \& ORTHOPAED, VIALE REGINA ELENA 336, I-00185 ROME, ITALY; DE MATTEIS, ALESSANDRA; DELL'AQUILA, MASSIMILIANO; MAIESE, ANIELLO; FRATI, PAOLA; LA RUSSA, RAFFAELE; BOLINO, GIORGIO; FINESCHI, VITTORIO, SAPIENZA UNIV ROMA, DEPT ANAT HISTOL FORENS MED \& ORTHOPAED, VIALE REGINA ELENA 336, I-00185 ROME, ITALY"	"10.1016/j.forsciint.2019.05.055"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2020	"A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY"	"REFFNER JA;KAMMRATH BW;KAPLAN S"	"FORENSIC SCIENCE; FIBER IDENTIFICATION; MICROSCOPY; POLARIZED LIGHT; MICROSCOPY; REFRACTIVE INDEX; EFFICIENCY"	NA	"REFFNER, JA (CORRESPONDING AUTHOR), CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; REFFNER, JOHN A; KAPLAN, SAMUEL, CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; KAMMRATH, BROOKE W, UNIV NEW HAVEN, 300 BOSTON POST RD, WEST HAVEN, CT 06516 USA"	"10.1111/1556-4029.14252"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2020	"A STUDY ON PHOTOSTABILITY OF ETHYL GLUCURONIDE IN HAIR IRRADIATED UNDER ARTIFICIAL SUNLIGHT"	"MIOLO G;STOCCHERO G;VOGLIARDI S;MENILLI L;SCRIVANO S;MONTISCI M;FAVRETTO D"	NA	"ALCOHOL-DRINKING; ABUSE; PHOTODEGRADATION; BIOMARKERS; ETHANOL; MARKER;; DRUG"	"FAVRETTO, D (CORRESPONDING AUTHOR), UNIV HOSP PADOVA, DEPT CARDIAC THORAC \& VASC SCI, I-35121 PADUA, ITALY; FAVRETTO, D (CORRESPONDING AUTHOR), UNIV HOSP PADOVA, PUBL HLTH LEGAL MED \& TOXICOL, I-35121 PADUA, ITALY; MIOLO, GIORGIA; MENILLI, LUCA, UNIV PADUA, DEPT PHARMACEUT \& PHARMACOL SCI, I-35131 PADUA, ITALY; STOCCHERO, GIULIA; VOGLIARDI, SUSANNA; MONTISCI, MASSIMO; FAVRETTO, DONATA, UNIV HOSP PADOVA, DEPT CARDIAC THORAC \& VASC SCI, I-35121 PADUA, ITALY; STOCCHERO, GIULIA; VOGLIARDI, SUSANNA; MONTISCI, MASSIMO; FAVRETTO, DONATA, UNIV HOSP PADOVA, PUBL HLTH LEGAL MED \& TOXICOL, I-35121 PADUA, ITALY; SCRIVANO, SALVATORE, UNIV HOSP PADOVA, SCH SPECIALIZAT LEGAL MED, I-35121 PADUA, ITALY"	"10.1093/jat/bky098"	"JOURNAL OF ANALYTICAL TOXICOLOGY"	"WebOfScience"	"PROCEEDINGS PAPER"
2020	"A SYSTEMATIC REVIEW OF SOLID-PHASE MICROEXTRACTION APPLICATIONS IN THE FORENSIC CONTEXT"	"DE GIOVANNI N;MARCHETTI D"	"SPME; FORENSIC; SYSTEMATIC REVIEW"	"ACID ETHYL-ESTERS; CHROMATOGRAPHY-MASS-SPECTROMETRY; VOLATILE; ORGANIC-COMPOUNDS; FULLY AUTOMATED-DETERMINATION; ELEVATED; ALCOHOL-CONSUMPTION; CAPILLARY GAS-CHROMATOGRAPHY; SYNTHETIC DESIGNER; DRUGS; HAIR ANALYSIS; HUMAN URINE; WHOLE-BLOOD"	"DE GIOVANNI, N (CORRESPONDING AUTHOR), FDN POLICLIN UNIV A GEMELLI IRCCS, LARGO FRANCESCO VITO 1, I-00168 ROME, ITALY; DE GIOVANNI, NADIA, FDN POLICLIN UNIV A GEMELLI IRCCS, LARGO FRANCESCO VITO 1, I-00168 ROME, ITALY; MARCHETTI, DANIELA, UNIV CATTOLICA SACRO CUORE, FDN POLICLIN A GEMELLI IRCCS, LARGO FRANCESCO VITO 1, I-00168 ROME, ITALY"	"10.1093/jat/bkz077"	"JOURNAL OF ANALYTICAL TOXICOLOGY"	"WebOfScience"	"REVIEW"
2020	"A UNIQUE CASE OF TRAUMATIC PULMONARY FOOD EMBOLISM"	"LANZILLOTTA F;VISONA SD;BALLARDINI M;JAVAN GT;OSCULATI A"	"PULMONARY FOOD EMBOLISM; HISTOLOGY; CRYSTAL-LIKE CORPUSCLES; MEAT FIBER; SHADOWS; VITAL REACTION"	"ESOPHAGITIS"	"LANZILLOTTA, F (CORRESPONDING AUTHOR), UNIV PARINI HOSP, LOCAL HLTH PUBL UTIL, AOSTA, AOSTA, ITALY; LANZILLOTTA, FIORELLA, UNIV PARINI HOSP, LOCAL HLTH PUBL UTIL, AOSTA, AOSTA, ITALY; VISONA, SILVIA DAMIANA; BALLARDINI, MARCO; OSCULATI, ANTONIO, UNIV PAVIA, PUBL HLTH EXPT \& FORENS MED DEPT, PAVIA, ITALY; JAVAN, GULNAZ T, ALABAMA STATE UNIV, PHYS SCI DEPT, FORENS SCI PROGRAM, MONTGOMERY, AL 36101 USA"	"10.1016/j.jflm.2020.101907"	"JOURNAL OF FORENSIC AND LEGAL MEDICINE"	"WebOfScience"	"ARTICLE"
2020	"ALL-FIBER ALL-OPTICAL QUANTITATIVE POLYMERASE CHAIN REACTION (QPCR)"	"LI X;NGUYEN L;HILL H;SCHARTNER EP;ZHAO X-L;ZHANG Y;WARREN-SMITH SC"	"QUANTITATIVE POLYMERASE CHAIN REACTION; OPTICAL FIBER SENSOR; BIOSENSOR; DNA DETECTION; MICROCAVITY; LABEL-FREE"	"LABEL-FREE DETECTION; REAL-TIME PCR; ENZYMATIC AMPLIFICATION; BIOSENSOR;; SURFACE; CELL; TECHNOLOGIES; SYSTEM; DEVICE; GENES"	"LI, XG (CORRESPONDING AUTHOR), NORTHEASTERN UNIV, COLL INFORMAT SCI \& ENGN, SHENYANG 110819, LIAONING, PEOPLES R CHINA; LI, XUEGANG; ZHAO, YONG; ZHOU, XUE; ZHANG, YANAN, NORTHEASTERN UNIV, COLL INFORMAT SCI \& ENGN, SHENYANG 110819, LIAONING, PEOPLES R CHINA; LI, XUEGANG; NGUYEN, LINH, V; EBENDORFF-HEIDEPRIEM, HEIKE; SCHARTNER, ERIK P; WARREN-SMITH, STEPHEN C, UNIV ADELAIDE, INST PHOTON \& ADV SENSING, ADELAIDE, SA 5005, AUSTRALIA; LI, XUEGANG; NGUYEN, LINH, V; EBENDORFF-HEIDEPRIEM, HEIKE; SCHARTNER, ERIK P; WARREN-SMITH, STEPHEN C, UNIV ADELAIDE, SCH PHYS SCI, ADELAIDE, SA 5005, AUSTRALIA; HILL, KELLY, SOUTH AUSTRALIAN RES \& DEV INST, URRBRAE, SA 5064, AUSTRALIA; HILL, KELLY, UNIV ADELAIDE, SCH AGR FOOD \& WINE, ADELAIDE, SA 5005, AUSTRALIA; EBENDORFF-HEIDEPRIEM, HEIKE; SCHARTNER, ERIK P; WARREN-SMITH, STEPHEN C, UNIV ADELAIDE, ARC CTR EXCELLENCE NANOSCALE BIOPHOTON, ADELAIDE, SA 5005, AUSTRALIA"	"10.1016/j.snb.2020.128681"	"SENSORS AND ACTUATORS B-CHEMICAL"	"WebOfScience"	"ARTICLE"
2020	"ANDEAN RHAPSODY. INTERTEXTUALITY OF WEAVING AND RAISING AT THE BEGINNING OF THE SECOND MILLENNIUM (ANTOFAGASTA DE LA SIERRA, SOUTHERN PUNA OF ARGENTINA)"	"LOPEZ CAMPENY SML;ROMANO AS"	"ARCHAEOLOGICAL SACK; CAMELID FIBERS; HUMAN HAIR; QUINOA; BLOOD"	NA	"CAMPENY, SMLL (CORRESPONDING AUTHOR), UNIV NACL TUCUMAN UNT, INST ARQUEOL \& MUSEO IAM, FAC CIENCIAS NAT, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; CAMPENY, SMLL (CORRESPONDING AUTHOR), UNIV NACL TUCUMAN UNT, INST MIGUEL LILLO, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; CAMPENY, SMLL (CORRESPONDING AUTHOR), UNIV NACL TUCUMAN UNT, CONICET, INST SUPER ESTUDIOS SOCIALES ISES, FAC CIENCIAS NAT, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; CAMPENY, SMLL (CORRESPONDING AUTHOR), UNIV NACL TUCUMAN UNT, CONICET, INST MIGUEL LILLO, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; LOPEZ CAMPENY, SARA M L; ROMANO, ANDRES S, UNIV NACL TUCUMAN UNT, INST ARQUEOL \& MUSEO IAM, FAC CIENCIAS NAT, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; LOPEZ CAMPENY, SARA M L; ROMANO, ANDRES S, UNIV NACL TUCUMAN UNT, INST MIGUEL LILLO, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; LOPEZ CAMPENY, SARA M L; ROMANO, ANDRES S, UNIV NACL TUCUMAN UNT, CONICET, INST SUPER ESTUDIOS SOCIALES ISES, FAC CIENCIAS NAT, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA; LOPEZ CAMPENY, SARA M L; ROMANO, ANDRES S, UNIV NACL TUCUMAN UNT, CONICET, INST MIGUEL LILLO, SAN MARTIN 1545,CP T4000CWE, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA"	"10.34096/arqueologia.t26.n2.5829"	"ARQUEOLOGIA"	"WebOfScience"	"ARTICLE"
